sex,race,household_income,education,state,age_int,vote_trump,cell,high_income,high_education
Female,White,"Less than $14,999",Highschool,MI,41-50,1,"White Highschool Less than $14,999",0,0
Female,White,"$90,000 to $94,999",Masters&Doc,NC,31-40,0,"White Masters&Doc $90,000 to $94,999",0,1
Female,White,"$100,000 to $124,999",Masters&Doc,TN,31-40,0,"White Masters&Doc $100,000 to $124,999",0,1
Male,White,"$175,000 to $199,999",Masters&Doc,FL,31-40,0,"White Masters&Doc $175,000 to $199,999",1,1
Female,White,"$35,000 to $39,999",Highschool,PA,71-80,1,"White Highschool $35,000 to $39,999",0,0
Male,White,"$100,000 to $124,999",College Degree,OH,41-50,1,"White College Degree $100,000 to $124,999",0,1
Female,White,"$60,000 to $64,999",College Degree,FL,51-60,0,"White College Degree $60,000 to $64,999",0,1
Female,Black/African American,"$15,000 to $19,999",Highschool,MO,61-70,0,"Black/African American Highschool $15,000 to $19,999",0,0
Male,other asian or pacific islander,"$20,000 to $24,999",Associate Degree,MI,71-80,1,"other asian or pacific islander Associate Degree $20,000 to $24,999",0,1
Male,White,"$175,000 to $199,999",Masters&Doc,NY,31-40,1,"White Masters&Doc $175,000 to $199,999",1,1
Male,White,"$150,000 to $174,999",Masters&Doc,TX,41-50,1,"White Masters&Doc $150,000 to $174,999",1,1
Male,White,"$150,000 to $174,999",Masters&Doc,NY,41-50,1,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"Less than $14,999",Highschool,IL,51-60,1,"White Highschool Less than $14,999",0,0
Female,White,"$200,000 to $249,999",College Degree,NY,51-60,0,"White College Degree $200,000 to $249,999",1,1
Female,Black/African American,"Less than $14,999",Highschool,OH,21-30,0,"Black/African American Highschool Less than $14,999",0,0
Female,Other race,"$125,000 to $149,999",College Degree,AL,51-60,0,"Other race College Degree $125,000 to $149,999",0,1
Female,White,"$35,000 to $39,999",College Degree,MD,31-40,1,"White College Degree $35,000 to $39,999",0,1
Male,White,"$150,000 to $174,999",Masters&Doc,KS,31-40,0,"White Masters&Doc $150,000 to $174,999",1,1
Male,White,"$250,000 and above",Masters&Doc,VA,41-50,1,"White Masters&Doc $250,000 and above",0,1
Male,White,"$90,000 to $94,999",Highschool,NJ,71-80,0,"White Highschool $90,000 to $94,999",0,0
Female,White,"$95,000 to $99,999",College Degree,CA,61-70,0,"White College Degree $95,000 to $99,999",0,1
Male,White,"$250,000 and above",Masters&Doc,NY,31-40,0,"White Masters&Doc $250,000 and above",0,1
Female,White,"$20,000 to $24,999",College Degree,NJ,71-80,1,"White College Degree $20,000 to $24,999",0,1
Male,White,"$150,000 to $174,999",College Degree,CT,31-40,0,"White College Degree $150,000 to $174,999",1,1
Male,White,"$150,000 to $174,999",Masters&Doc,NY,31-40,1,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$50,000 to $54,999",Highschool,TN,21-30,1,"White Highschool $50,000 to $54,999",0,0
Male,White,"$150,000 to $174,999",Masters&Doc,CA,41-50,0,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$100,000 to $124,999",College Degree,FL,61-70,1,"White College Degree $100,000 to $124,999",0,1
Female,White,"$50,000 to $54,999",Highschool,NJ,80up,0,"White Highschool $50,000 to $54,999",0,0
Male,White,"$25,000 to $29,999",Highschool,CA,41-50,1,"White Highschool $25,000 to $29,999",0,0
Female,White,"$35,000 to $39,999",College Degree,NH,21-30,0,"White College Degree $35,000 to $39,999",0,1
Female,White,"$55,000 to $59,999",College Degree,PA,61-70,1,"White College Degree $55,000 to $59,999",0,1
Male,White,"$50,000 to $54,999",College Degree,CA,41-50,0,"White College Degree $50,000 to $54,999",0,1
Female,White,"$15,000 to $19,999",Associate Degree,NY,61-70,1,"White Associate Degree $15,000 to $19,999",0,1
Male,White,"$150,000 to $174,999",Masters&Doc,PA,61-70,0,"White Masters&Doc $150,000 to $174,999",1,1
Female,Black/African American,"$45,000 to $49,999",Highschool,CA,18-20,0,"Black/African American Highschool $45,000 to $49,999",0,0
Male,White,"$150,000 to $174,999",Highschool,PA,61-70,0,"White Highschool $150,000 to $174,999",1,0
Female,Black/African American,"$40,000 to $44,999",Highschool,MO,51-60,0,"Black/African American Highschool $40,000 to $44,999",0,0
Male,Other race,"$95,000 to $99,999",Masters&Doc,NY,51-60,1,"Other race Masters&Doc $95,000 to $99,999",0,1
Female,White,"$75,000 to $79,999",Associate Degree,OH,21-30,0,"White Associate Degree $75,000 to $79,999",0,1
Male,White,"Less than $14,999",Masters&Doc,MO,21-30,1,"White Masters&Doc Less than $14,999",0,1
Male,White,"$125,000 to $149,999",Masters&Doc,NY,41-50,0,"White Masters&Doc $125,000 to $149,999",0,1
Male,White,"$75,000 to $79,999",Highschool,OH,41-50,1,"White Highschool $75,000 to $79,999",0,0
Male,White,"$150,000 to $174,999",College Degree,MA,51-60,1,"White College Degree $150,000 to $174,999",1,1
Female,White,"$55,000 to $59,999",College Degree,TX,41-50,0,"White College Degree $55,000 to $59,999",0,1
Male,White,"$250,000 and above",Masters&Doc,IL,31-40,1,"White Masters&Doc $250,000 and above",0,1
Male,White,"$90,000 to $94,999",College Degree,MD,31-40,0,"White College Degree $90,000 to $94,999",0,1
Male,Black/African American,"$25,000 to $29,999",College Degree,FL,21-30,0,"Black/African American College Degree $25,000 to $29,999",0,1
Female,White,"$30,000 to $34,999",Highschool,OH,71-80,1,"White Highschool $30,000 to $34,999",0,0
Female,White,"$65,000 to $69,999",College Degree,NY,51-60,1,"White College Degree $65,000 to $69,999",0,1
Male,White,"$125,000 to $149,999",College Degree,MI,31-40,1,"White College Degree $125,000 to $149,999",0,1
Male,White,"$100,000 to $124,999",Highschool,NC,61-70,0,"White Highschool $100,000 to $124,999",0,0
Female,Black/African American,"$60,000 to $64,999",Associate Degree,NY,51-60,0,"Black/African American Associate Degree $60,000 to $64,999",0,1
Male,Black/African American,"$25,000 to $29,999",Highschool,GA,21-30,0,"Black/African American Highschool $25,000 to $29,999",0,0
Male,White,"$100,000 to $124,999",College Degree,AZ,51-60,1,"White College Degree $100,000 to $124,999",0,1
Male,Black/African American,"$70,000 to $74,999",Associate Degree,GA,51-60,0,"Black/African American Associate Degree $70,000 to $74,999",0,1
Male,White,"$15,000 to $19,999",Highschool,OH,61-70,1,"White Highschool $15,000 to $19,999",0,0
Male,Black/African American,"$75,000 to $79,999",College Degree,NY,21-30,0,"Black/African American College Degree $75,000 to $79,999",0,1
Male,White,"$175,000 to $199,999",Masters&Doc,NY,41-50,1,"White Masters&Doc $175,000 to $199,999",1,1
Male,White,"$250,000 and above",Masters&Doc,AL,71-80,0,"White Masters&Doc $250,000 and above",0,1
Male,White,"$15,000 to $19,999",Masters&Doc,GA,51-60,1,"White Masters&Doc $15,000 to $19,999",0,1
Male,White,"$70,000 to $74,999",Highschool,WI,51-60,0,"White Highschool $70,000 to $74,999",0,0
Male,White,"$15,000 to $19,999",Associate Degree,NY,61-70,0,"White Associate Degree $15,000 to $19,999",0,1
Male,White,"$95,000 to $99,999",Highschool,IL,31-40,0,"White Highschool $95,000 to $99,999",0,0
Male,White,"$150,000 to $174,999",Masters&Doc,FL,41-50,0,"White Masters&Doc $150,000 to $174,999",1,1
Male,Black/African American,"$50,000 to $54,999",Highschool,FL,21-30,0,"Black/African American Highschool $50,000 to $54,999",0,0
Male,White,"$40,000 to $44,999",Highschool,MO,51-60,1,"White Highschool $40,000 to $44,999",0,0
Male,White,"$65,000 to $69,999",Highschool,OH,71-80,1,"White Highschool $65,000 to $69,999",0,0
Male,White,"$30,000 to $34,999",Highschool,PA,31-40,0,"White Highschool $30,000 to $34,999",0,0
Male,White,"$20,000 to $24,999",Highschool,AZ,51-60,0,"White Highschool $20,000 to $24,999",0,0
Male,White,"$70,000 to $74,999",Highschool,NJ,80up,1,"White Highschool $70,000 to $74,999",0,0
Male,Black/African American,"$100,000 to $124,999",College Degree,FL,61-70,0,"Black/African American College Degree $100,000 to $124,999",0,1
Male,White,"$80,000 to $84,999",College Degree,MI,41-50,0,"White College Degree $80,000 to $84,999",0,1
Male,White,"$125,000 to $149,999",College Degree,NC,41-50,0,"White College Degree $125,000 to $149,999",0,1
Male,White,"$85,000 to $89,999",College Degree,WI,51-60,1,"White College Degree $85,000 to $89,999",0,1
Male,White,"$65,000 to $69,999",Highschool,FL,61-70,1,"White Highschool $65,000 to $69,999",0,0
Male,White,"$50,000 to $54,999",Highschool,GA,31-40,1,"White Highschool $50,000 to $54,999",0,0
Male,White,"$250,000 and above",Masters&Doc,TX,31-40,0,"White Masters&Doc $250,000 and above",0,1
Female,Black/African American,"$25,000 to $29,999",Associate Degree,IN,61-70,0,"Black/African American Associate Degree $25,000 to $29,999",0,1
Male,Other race,"$60,000 to $64,999",Highschool,WI,41-50,0,"Other race Highschool $60,000 to $64,999",0,0
Male,White,"$30,000 to $34,999",Highschool,AZ,61-70,1,"White Highschool $30,000 to $34,999",0,0
Female,White,"$40,000 to $44,999",College Degree,IA,71-80,0,"White College Degree $40,000 to $44,999",0,1
Male,White,"$200,000 to $249,999",College Degree,NH,51-60,1,"White College Degree $200,000 to $249,999",1,1
Male,White,"$55,000 to $59,999",Highschool,CO,18-20,1,"White Highschool $55,000 to $59,999",0,0
Male,White,"$15,000 to $19,999",Associate Degree,IN,41-50,1,"White Associate Degree $15,000 to $19,999",0,1
Female,White,"$250,000 and above",Associate Degree,KY,61-70,0,"White Associate Degree $250,000 and above",0,1
Female,White,"$95,000 to $99,999",College Degree,MI,31-40,1,"White College Degree $95,000 to $99,999",0,1
Female,Chinese,"$70,000 to $74,999",College Degree,NJ,61-70,1,"Chinese College Degree $70,000 to $74,999",0,1
Male,White,"$85,000 to $89,999",Highschool,CA,61-70,0,"White Highschool $85,000 to $89,999",0,0
Male,White,"$15,000 to $19,999",Masters&Doc,TX,31-40,0,"White Masters&Doc $15,000 to $19,999",0,1
Male,White,"$100,000 to $124,999",College Degree,NY,51-60,1,"White College Degree $100,000 to $124,999",0,1
Female,White,"$80,000 to $84,999",Masters&Doc,MN,61-70,0,"White Masters&Doc $80,000 to $84,999",0,1
Female,White,"$15,000 to $19,999",Associate Degree,LA,71-80,0,"White Associate Degree $15,000 to $19,999",0,1
Female,White,"$125,000 to $149,999",Masters&Doc,GA,51-60,0,"White Masters&Doc $125,000 to $149,999",0,1
Male,White,"$100,000 to $124,999",College Degree,IL,41-50,0,"White College Degree $100,000 to $124,999",0,1
Male,White,"$125,000 to $149,999",College Degree,FL,61-70,1,"White College Degree $125,000 to $149,999",0,1
Male,Other race,"$55,000 to $59,999",Highschool,CA,21-30,0,"Other race Highschool $55,000 to $59,999",0,0
Male,Chinese,"$35,000 to $39,999",College Degree,CA,41-50,0,"Chinese College Degree $35,000 to $39,999",0,1
Male,White,"$150,000 to $174,999",Masters&Doc,CA,41-50,1,"White Masters&Doc $150,000 to $174,999",1,1
Female,Japanese,"$95,000 to $99,999",College Degree,CA,51-60,0,"Japanese College Degree $95,000 to $99,999",0,1
Male,other asian or pacific islander,"Less than $14,999",Highschool,NY,18-20,0,"other asian or pacific islander Highschool Less than $14,999",0,0
Male,other asian or pacific islander,"$100,000 to $124,999",College Degree,GA,31-40,1,"other asian or pacific islander College Degree $100,000 to $124,999",0,1
Female,White,"$30,000 to $34,999",College Degree,WA,41-50,0,"White College Degree $30,000 to $34,999",0,1
Male,White,"$175,000 to $199,999",Masters&Doc,CA,41-50,1,"White Masters&Doc $175,000 to $199,999",1,1
Female,White,"Less than $14,999",Highschool,AL,31-40,0,"White Highschool Less than $14,999",0,0
Female,White,"$35,000 to $39,999",Masters&Doc,NJ,21-30,0,"White Masters&Doc $35,000 to $39,999",0,1
Female,Black/African American,"Less than $14,999",Highschool,OH,61-70,0,"Black/African American Highschool Less than $14,999",0,0
Male,White,"$125,000 to $149,999",Highschool,KY,71-80,1,"White Highschool $125,000 to $149,999",0,0
Female,Black/African American,"$95,000 to $99,999",Masters&Doc,NJ,41-50,0,"Black/African American Masters&Doc $95,000 to $99,999",0,1
Male,White,"$200,000 to $249,999",Masters&Doc,IL,41-50,1,"White Masters&Doc $200,000 to $249,999",1,1
Female,White,"$125,000 to $149,999",Masters&Doc,NY,18-20,0,"White Masters&Doc $125,000 to $149,999",0,1
Female,White,"$55,000 to $59,999",Masters&Doc,ME,61-70,1,"White Masters&Doc $55,000 to $59,999",0,1
Female,White,"Less than $14,999",Highschool,TN,71-80,0,"White Highschool Less than $14,999",0,0
Female,White,"$175,000 to $199,999",Masters&Doc,VA,21-30,0,"White Masters&Doc $175,000 to $199,999",1,1
Female,White,"$125,000 to $149,999",Masters&Doc,VA,41-50,0,"White Masters&Doc $125,000 to $149,999",0,1
Male,White,"$45,000 to $49,999",Associate Degree,NJ,71-80,1,"White Associate Degree $45,000 to $49,999",0,1
Male,White,"$100,000 to $124,999",College Degree,CT,61-70,0,"White College Degree $100,000 to $124,999",0,1
Male,Black/African American,"$25,000 to $29,999",Highschool,NJ,41-50,0,"Black/African American Highschool $25,000 to $29,999",0,0
Female,Black/African American,"$95,000 to $99,999",Masters&Doc,WI,71-80,0,"Black/African American Masters&Doc $95,000 to $99,999",0,1
Male,White,"$90,000 to $94,999",Associate Degree,IA,41-50,1,"White Associate Degree $90,000 to $94,999",0,1
Male,White,"$125,000 to $149,999",College Degree,AR,41-50,1,"White College Degree $125,000 to $149,999",0,1
Female,White,"$30,000 to $34,999",Highschool,AR,61-70,1,"White Highschool $30,000 to $34,999",0,0
Female,Black/African American,"$150,000 to $174,999",Masters&Doc,NJ,41-50,0,"Black/African American Masters&Doc $150,000 to $174,999",1,1
Female,White,"$50,000 to $54,999",Masters&Doc,CA,61-70,1,"White Masters&Doc $50,000 to $54,999",0,1
Female,White,"$30,000 to $34,999",Highschool,CA,61-70,0,"White Highschool $30,000 to $34,999",0,0
Male,White,"$175,000 to $199,999",College Degree,NJ,51-60,0,"White College Degree $175,000 to $199,999",1,1
Male,White,"$250,000 and above",Masters&Doc,PA,51-60,0,"White Masters&Doc $250,000 and above",0,1
Male,White,"$40,000 to $44,999",Highschool,PA,71-80,1,"White Highschool $40,000 to $44,999",0,0
Female,White,"$55,000 to $59,999",Masters&Doc,GA,41-50,0,"White Masters&Doc $55,000 to $59,999",0,1
Male,White,"$60,000 to $64,999",Masters&Doc,MD,61-70,0,"White Masters&Doc $60,000 to $64,999",0,1
Female,White,"$95,000 to $99,999",College Degree,VA,51-60,0,"White College Degree $95,000 to $99,999",0,1
Male,White,"$175,000 to $199,999",Masters&Doc,IL,31-40,1,"White Masters&Doc $175,000 to $199,999",1,1
Female,White,"$35,000 to $39,999",Masters&Doc,TN,21-30,1,"White Masters&Doc $35,000 to $39,999",0,1
Female,White,"$95,000 to $99,999",Associate Degree,NJ,61-70,1,"White Associate Degree $95,000 to $99,999",0,1
Male,White,"$150,000 to $174,999",College Degree,TX,31-40,1,"White College Degree $150,000 to $174,999",1,1
Female,White,"$35,000 to $39,999",College Degree,VA,61-70,1,"White College Degree $35,000 to $39,999",0,1
Male,Other race,"$30,000 to $34,999",Masters&Doc,MS,21-30,0,"Other race Masters&Doc $30,000 to $34,999",0,1
Female,White,"$25,000 to $29,999",Associate Degree,TX,61-70,1,"White Associate Degree $25,000 to $29,999",0,1
Male,White,"$95,000 to $99,999",Masters&Doc,FL,31-40,1,"White Masters&Doc $95,000 to $99,999",0,1
Male,White,"$95,000 to $99,999",College Degree,VA,71-80,0,"White College Degree $95,000 to $99,999",0,1
Female,White,"$55,000 to $59,999",Highschool,ID,71-80,1,"White Highschool $55,000 to $59,999",0,0
Male,White,"$100,000 to $124,999",College Degree,NY,71-80,1,"White College Degree $100,000 to $124,999",0,1
Female,White,"$25,000 to $29,999",Highschool,OR,71-80,1,"White Highschool $25,000 to $29,999",0,0
Female,Other race,"$20,000 to $24,999",Highschool,VA,80up,1,"Other race Highschool $20,000 to $24,999",0,0
Male,White,"$250,000 and above",Highschool,MA,18-20,0,"White Highschool $250,000 and above",0,0
Male,White,"$25,000 to $29,999",Highschool,FL,71-80,1,"White Highschool $25,000 to $29,999",0,0
Male,White,"$200,000 to $249,999",Masters&Doc,NY,41-50,1,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$150,000 to $174,999",Masters&Doc,OH,41-50,1,"White Masters&Doc $150,000 to $174,999",1,1
Female,Black/African American,"$20,000 to $24,999",College Degree,GA,21-30,0,"Black/African American College Degree $20,000 to $24,999",0,1
Female,Other race,"$30,000 to $34,999",Highschool,FL,51-60,0,"Other race Highschool $30,000 to $34,999",0,0
Female,White,"$40,000 to $44,999",College Degree,MA,61-70,0,"White College Degree $40,000 to $44,999",0,1
Male,other asian or pacific islander,"$250,000 and above",College Degree,MA,31-40,0,"other asian or pacific islander College Degree $250,000 and above",0,1
Female,Other race,"Less than $14,999",Highschool,ID,71-80,0,"Other race Highschool Less than $14,999",0,0
Male,White,"$70,000 to $74,999",Associate Degree,NY,31-40,0,"White Associate Degree $70,000 to $74,999",0,1
Female,White,"$45,000 to $49,999",Highschool,IL,71-80,1,"White Highschool $45,000 to $49,999",0,0
Male,White,"$40,000 to $44,999",Highschool,TX,21-30,1,"White Highschool $40,000 to $44,999",0,0
Male,White,"$250,000 and above",College Degree,MO,21-30,1,"White College Degree $250,000 and above",0,1
Male,White,"$175,000 to $199,999",Masters&Doc,GA,31-40,1,"White Masters&Doc $175,000 to $199,999",1,1
Male,White,"$100,000 to $124,999",College Degree,WA,31-40,0,"White College Degree $100,000 to $124,999",0,1
Male,White,"Less than $14,999",Highschool,IN,18-20,0,"White Highschool Less than $14,999",0,0
Male,White,"$125,000 to $149,999",Masters&Doc,TX,71-80,0,"White Masters&Doc $125,000 to $149,999",0,1
Male,White,"$150,000 to $174,999",Masters&Doc,PA,61-70,0,"White Masters&Doc $150,000 to $174,999",1,1
Male,White,"$150,000 to $174,999",Masters&Doc,NC,41-50,1,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$50,000 to $54,999",College Degree,AZ,71-80,0,"White College Degree $50,000 to $54,999",0,1
Male,White,"$100,000 to $124,999",Masters&Doc,CA,51-60,0,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$30,000 to $34,999",Masters&Doc,IL,21-30,1,"White Masters&Doc $30,000 to $34,999",0,1
Male,White,"$35,000 to $39,999",Highschool,WA,31-40,1,"White Highschool $35,000 to $39,999",0,0
Male,Black/African American,"Less than $14,999",Highschool,CO,51-60,0,"Black/African American Highschool Less than $14,999",0,0
Male,Black/African American,"Less than $14,999",Highschool,FL,31-40,0,"Black/African American Highschool Less than $14,999",0,0
Female,White,"$25,000 to $29,999",Highschool,FL,61-70,1,"White Highschool $25,000 to $29,999",0,0
Male,White,"$125,000 to $149,999",College Degree,PA,51-60,0,"White College Degree $125,000 to $149,999",0,1
Male,Other race,"$60,000 to $64,999",Highschool,FL,21-30,0,"Other race Highschool $60,000 to $64,999",0,0
Male,Black/African American,"$25,000 to $29,999",Highschool,CA,51-60,1,"Black/African American Highschool $25,000 to $29,999",0,0
Male,White,"$75,000 to $79,999",College Degree,MS,51-60,1,"White College Degree $75,000 to $79,999",0,1
Male,White,"$70,000 to $74,999",College Degree,TX,51-60,1,"White College Degree $70,000 to $74,999",0,1
Male,White,"$100,000 to $124,999",College Degree,PA,31-40,0,"White College Degree $100,000 to $124,999",0,1
Male,American Indian or Alaska Native,"$100,000 to $124,999",College Degree,CA,41-50,0,"American Indian or Alaska Native College Degree $100,000 to $124,999",0,1
Male,Black/African American,"$20,000 to $24,999",Highschool,MO,41-50,0,"Black/African American Highschool $20,000 to $24,999",0,0
Male,White,"$200,000 to $249,999",Masters&Doc,MD,41-50,1,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$150,000 to $174,999",Masters&Doc,VA,41-50,0,"White Masters&Doc $150,000 to $174,999",1,1
Male,White,"$200,000 to $249,999",Masters&Doc,NY,41-50,1,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$125,000 to $149,999",Highschool,WA,61-70,1,"White Highschool $125,000 to $149,999",0,0
Male,White,"$30,000 to $34,999",Highschool,UT,41-50,1,"White Highschool $30,000 to $34,999",0,0
Male,White,"$100,000 to $124,999",Masters&Doc,CA,41-50,1,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$50,000 to $54,999",College Degree,WA,31-40,0,"White College Degree $50,000 to $54,999",0,1
Male,other asian or pacific islander,"$125,000 to $149,999",College Degree,HI,41-50,0,"other asian or pacific islander College Degree $125,000 to $149,999",0,1
Male,White,"$60,000 to $64,999",College Degree,VA,21-30,0,"White College Degree $60,000 to $64,999",0,1
Female,Black/African American,"$95,000 to $99,999",Highschool,AZ,41-50,0,"Black/African American Highschool $95,000 to $99,999",0,0
Female,White,"$30,000 to $34,999",College Degree,DC,61-70,0,"White College Degree $30,000 to $34,999",0,1
Male,White,"$95,000 to $99,999",College Degree,WI,61-70,0,"White College Degree $95,000 to $99,999",0,1
Female,White,"$85,000 to $89,999",College Degree,OH,21-30,1,"White College Degree $85,000 to $89,999",0,1
Female,other asian or pacific islander,"$15,000 to $19,999",College Degree,NY,21-30,0,"other asian or pacific islander College Degree $15,000 to $19,999",0,1
Female,Other race,"$35,000 to $39,999",College Degree,MA,31-40,0,"Other race College Degree $35,000 to $39,999",0,1
Male,White,"$35,000 to $39,999",Highschool,NJ,71-80,1,"White Highschool $35,000 to $39,999",0,0
Female,Black/African American,"$95,000 to $99,999",College Degree,NC,41-50,0,"Black/African American College Degree $95,000 to $99,999",0,1
Male,White,"$125,000 to $149,999",College Degree,NY,31-40,1,"White College Degree $125,000 to $149,999",0,1
Female,Black/African American,"$35,000 to $39,999",College Degree,MS,31-40,0,"Black/African American College Degree $35,000 to $39,999",0,1
Female,White,"$45,000 to $49,999",Masters&Doc,AL,31-40,0,"White Masters&Doc $45,000 to $49,999",0,1
Male,White,"$70,000 to $74,999",College Degree,ME,41-50,0,"White College Degree $70,000 to $74,999",0,1
Male,Chinese,"$100,000 to $124,999",College Degree,CA,41-50,0,"Chinese College Degree $100,000 to $124,999",0,1
Female,Other race,"$40,000 to $44,999",Highschool,NC,31-40,0,"Other race Highschool $40,000 to $44,999",0,0
Female,White,"Less than $14,999",Highschool,AZ,61-70,1,"White Highschool Less than $14,999",0,0
Male,White,"$150,000 to $174,999",Masters&Doc,WA,31-40,1,"White Masters&Doc $150,000 to $174,999",1,1
Male,White,"$250,000 and above",Highschool,CA,21-30,1,"White Highschool $250,000 and above",0,0
Male,White,"$85,000 to $89,999",College Degree,KS,21-30,1,"White College Degree $85,000 to $89,999",0,1
Male,White,"$100,000 to $124,999",Masters&Doc,LA,51-60,1,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$50,000 to $54,999",Associate Degree,WA,61-70,1,"White Associate Degree $50,000 to $54,999",0,1
Male,White,"$175,000 to $199,999",Masters&Doc,TX,31-40,1,"White Masters&Doc $175,000 to $199,999",1,1
Male,White,"$100,000 to $124,999",Masters&Doc,TX,31-40,1,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$20,000 to $24,999",Masters&Doc,NC,41-50,1,"White Masters&Doc $20,000 to $24,999",0,1
Female,White,"$35,000 to $39,999",Highschool,MD,51-60,1,"White Highschool $35,000 to $39,999",0,0
Male,White,"$150,000 to $174,999",Masters&Doc,TN,41-50,1,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$150,000 to $174,999",Highschool,CT,41-50,0,"White Highschool $150,000 to $174,999",1,0
Male,White,"$65,000 to $69,999",Masters&Doc,KY,61-70,0,"White Masters&Doc $65,000 to $69,999",0,1
Female,White,"$25,000 to $29,999",Masters&Doc,NC,31-40,1,"White Masters&Doc $25,000 to $29,999",0,1
Male,White,"$150,000 to $174,999",Masters&Doc,FL,31-40,1,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$125,000 to $149,999",College Degree,FL,31-40,1,"White College Degree $125,000 to $149,999",0,1
Female,White,"$55,000 to $59,999",Highschool,PA,61-70,1,"White Highschool $55,000 to $59,999",0,0
Female,Black/African American,"$55,000 to $59,999",Highschool,SC,31-40,0,"Black/African American Highschool $55,000 to $59,999",0,0
Female,Black/African American,"Less than $14,999",Associate Degree,CT,61-70,0,"Black/African American Associate Degree Less than $14,999",0,1
Male,White,"$150,000 to $174,999",Masters&Doc,NY,51-60,0,"White Masters&Doc $150,000 to $174,999",1,1
Male,White,"Less than $14,999",Masters&Doc,GA,41-50,1,"White Masters&Doc Less than $14,999",0,1
Male,White,"$25,000 to $29,999",Highschool,OH,31-40,0,"White Highschool $25,000 to $29,999",0,0
Female,White,"Less than $14,999",Masters&Doc,AL,21-30,1,"White Masters&Doc Less than $14,999",0,1
Female,White,"$25,000 to $29,999",Masters&Doc,FL,31-40,1,"White Masters&Doc $25,000 to $29,999",0,1
Female,White,"$45,000 to $49,999",Highschool,CA,41-50,1,"White Highschool $45,000 to $49,999",0,0
Female,Black/African American,"$15,000 to $19,999",Masters&Doc,MI,31-40,0,"Black/African American Masters&Doc $15,000 to $19,999",0,1
Female,Black/African American,"Less than $14,999",Masters&Doc,MD,31-40,0,"Black/African American Masters&Doc Less than $14,999",0,1
Female,White,"$75,000 to $79,999",Masters&Doc,VA,31-40,1,"White Masters&Doc $75,000 to $79,999",0,1
Male,White,"$85,000 to $89,999",Highschool,NY,31-40,1,"White Highschool $85,000 to $89,999",0,0
Male,White,"$80,000 to $84,999",Masters&Doc,NY,31-40,0,"White Masters&Doc $80,000 to $84,999",0,1
Female,White,"$70,000 to $74,999",Highschool,GA,61-70,1,"White Highschool $70,000 to $74,999",0,0
Male,Black/African American,"$15,000 to $19,999",College Degree,VA,21-30,0,"Black/African American College Degree $15,000 to $19,999",0,1
Male,White,"$100,000 to $124,999",Masters&Doc,NY,31-40,0,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$75,000 to $79,999",Highschool,NC,31-40,1,"White Highschool $75,000 to $79,999",0,0
Female,Other race,"$20,000 to $24,999",Highschool,AK,41-50,1,"Other race Highschool $20,000 to $24,999",0,0
Male,White,"$150,000 to $174,999",Masters&Doc,CT,41-50,0,"White Masters&Doc $150,000 to $174,999",1,1
Male,White,"$100,000 to $124,999",College Degree,KS,61-70,1,"White College Degree $100,000 to $124,999",0,1
Female,White,"$75,000 to $79,999",Masters&Doc,VA,31-40,1,"White Masters&Doc $75,000 to $79,999",0,1
Male,White,"$150,000 to $174,999",Masters&Doc,CO,41-50,1,"White Masters&Doc $150,000 to $174,999",1,1
Male,White,"$15,000 to $19,999",Highschool,NJ,41-50,1,"White Highschool $15,000 to $19,999",0,0
Female,White,"$90,000 to $94,999",Associate Degree,CO,51-60,0,"White Associate Degree $90,000 to $94,999",0,1
Female,White,"$30,000 to $34,999",College Degree,NM,41-50,0,"White College Degree $30,000 to $34,999",0,1
Female,White,"$80,000 to $84,999",Associate Degree,MN,21-30,0,"White Associate Degree $80,000 to $84,999",0,1
Female,Black/African American,"$25,000 to $29,999",Masters&Doc,IL,18-20,1,"Black/African American Masters&Doc $25,000 to $29,999",0,1
Female,White,"$100,000 to $124,999",College Degree,MI,31-40,1,"White College Degree $100,000 to $124,999",0,1
Male,White,"Less than $14,999",Highschool,NY,31-40,0,"White Highschool Less than $14,999",0,0
Female,White,"$15,000 to $19,999",Highschool,MN,71-80,1,"White Highschool $15,000 to $19,999",0,0
Female,White,"$55,000 to $59,999",Associate Degree,MI,31-40,0,"White Associate Degree $55,000 to $59,999",0,1
Female,White,"$100,000 to $124,999",College Degree,AK,18-20,0,"White College Degree $100,000 to $124,999",0,1
Female,Chinese,"$75,000 to $79,999",Highschool,WA,51-60,0,"Chinese Highschool $75,000 to $79,999",0,0
Female,White,"$75,000 to $79,999",Associate Degree,MI,21-30,0,"White Associate Degree $75,000 to $79,999",0,1
