sex,race,household_income,education,state,age_int,vote_trump,cell,high_income,high_education
Female,White,"$35,000 to $39,999",College Degree,IA,51-60,0,"White College Degree $35,000 to $39,999",0,1
Female,White,"$100,000 to $124,999",Masters&Doc,GA,51-60,1,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$75,000 to $79,999",Masters&Doc,NY,61-70,0,"White Masters&Doc $75,000 to $79,999",0,1
Female,White,"$25,000 to $29,999",Associate Degree,WA,61-70,0,"White Associate Degree $25,000 to $29,999",0,1
Female,White,"$60,000 to $64,999",Highschool,MI,31-40,0,"White Highschool $60,000 to $64,999",0,0
Female,White,"$55,000 to $59,999",Highschool,OH,41-50,0,"White Highschool $55,000 to $59,999",0,0
Female,White,"$45,000 to $49,999",Highschool,IL,21-30,1,"White Highschool $45,000 to $49,999",0,0
Female,White,"$90,000 to $94,999",Highschool,MA,61-70,0,"White Highschool $90,000 to $94,999",0,0
Female,Chinese,"$80,000 to $84,999",Masters&Doc,MO,31-40,0,"Chinese Masters&Doc $80,000 to $84,999",0,1
Female,White,"$60,000 to $64,999",Masters&Doc,CO,41-50,0,"White Masters&Doc $60,000 to $64,999",0,1
Female,White,"$90,000 to $94,999",College Degree,NC,51-60,1,"White College Degree $90,000 to $94,999",0,1
Female,White,"$70,000 to $74,999",Masters&Doc,NY,61-70,0,"White Masters&Doc $70,000 to $74,999",0,1
Female,White,"$60,000 to $64,999",Highschool,IN,51-60,1,"White Highschool $60,000 to $64,999",0,0
Female,Chinese,"$50,000 to $54,999",College Degree,CA,31-40,0,"Chinese College Degree $50,000 to $54,999",0,1
Female,White,"$250,000 and above",Highschool,FL,21-30,1,"White Highschool $250,000 and above",0,0
Female,White,"$65,000 to $69,999",Highschool,PA,71-80,1,"White Highschool $65,000 to $69,999",0,0
Female,White,"$25,000 to $29,999",Highschool,SC,31-40,1,"White Highschool $25,000 to $29,999",0,0
Female,White,"$100,000 to $124,999",Masters&Doc,IL,51-60,1,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$15,000 to $19,999",Highschool,OH,61-70,0,"White Highschool $15,000 to $19,999",0,0
Male,White,"$90,000 to $94,999",Masters&Doc,NY,41-50,1,"White Masters&Doc $90,000 to $94,999",0,1
Male,White,"$65,000 to $69,999",Highschool,IA,61-70,1,"White Highschool $65,000 to $69,999",0,0
Female,White,"$125,000 to $149,999",Masters&Doc,WI,51-60,1,"White Masters&Doc $125,000 to $149,999",0,1
Female,White,"$85,000 to $89,999",College Degree,CT,21-30,0,"White College Degree $85,000 to $89,999",0,1
Female,White,"$30,000 to $34,999",Highschool,PA,51-60,1,"White Highschool $30,000 to $34,999",0,0
Female,White,"$100,000 to $124,999",College Degree,NJ,71-80,0,"White College Degree $100,000 to $124,999",0,1
Female,White,"$60,000 to $64,999",Masters&Doc,DC,31-40,0,"White Masters&Doc $60,000 to $64,999",0,1
Male,White,"$100,000 to $124,999",Masters&Doc,PA,61-70,0,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$150,000 to $174,999",Masters&Doc,NY,31-40,0,"White Masters&Doc $150,000 to $174,999",1,1
Male,White,"$150,000 to $174,999",Masters&Doc,FL,41-50,1,"White Masters&Doc $150,000 to $174,999",1,1
Male,Black/African American,"Less than $14,999",Masters&Doc,FL,21-30,0,"Black/African American Masters&Doc Less than $14,999",0,1
Male,Chinese,"Less than $14,999",Highschool,NY,41-50,0,"Chinese Highschool Less than $14,999",0,0
Female,White,"$30,000 to $34,999",Associate Degree,GA,51-60,1,"White Associate Degree $30,000 to $34,999",0,1
Female,White,"$90,000 to $94,999",Highschool,IL,51-60,1,"White Highschool $90,000 to $94,999",0,0
Male,White,"$55,000 to $59,999",Highschool,NM,61-70,0,"White Highschool $55,000 to $59,999",0,0
Female,White,"$100,000 to $124,999",College Degree,TN,51-60,0,"White College Degree $100,000 to $124,999",0,1
Female,Chinese,"$25,000 to $29,999",College Degree,CA,41-50,0,"Chinese College Degree $25,000 to $29,999",0,1
Female,White,"$55,000 to $59,999",College Degree,NC,31-40,1,"White College Degree $55,000 to $59,999",0,1
Female,White,"$40,000 to $44,999",Highschool,VA,61-70,1,"White Highschool $40,000 to $44,999",0,0
Male,White,"$45,000 to $49,999",College Degree,MN,31-40,1,"White College Degree $45,000 to $49,999",0,1
Male,White,"$25,000 to $29,999",Associate Degree,WI,71-80,1,"White Associate Degree $25,000 to $29,999",0,1
Female,White,"$100,000 to $124,999",Masters&Doc,PA,31-40,0,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$30,000 to $34,999",Highschool,OK,21-30,0,"White Highschool $30,000 to $34,999",0,0
Female,White,"$100,000 to $124,999",Masters&Doc,IL,61-70,1,"White Masters&Doc $100,000 to $124,999",0,1
Male,White,"$100,000 to $124,999",Masters&Doc,FL,41-50,1,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$55,000 to $59,999",Masters&Doc,TX,41-50,1,"White Masters&Doc $55,000 to $59,999",0,1
Male,White,"$15,000 to $19,999",College Degree,OH,51-60,1,"White College Degree $15,000 to $19,999",0,1
Male,White,"$50,000 to $54,999",Associate Degree,AZ,61-70,0,"White Associate Degree $50,000 to $54,999",0,1
Female,White,"$125,000 to $149,999",College Degree,NJ,41-50,1,"White College Degree $125,000 to $149,999",0,1
Male,White,"$40,000 to $44,999",Highschool,CO,61-70,0,"White Highschool $40,000 to $44,999",0,0
Male,other asian or pacific islander,"$40,000 to $44,999",Masters&Doc,PA,51-60,0,"other asian or pacific islander Masters&Doc $40,000 to $44,999",0,1
Female,White,"$40,000 to $44,999",Highschool,OH,41-50,0,"White Highschool $40,000 to $44,999",0,0
Male,Japanese,"$25,000 to $29,999",Associate Degree,HI,61-70,0,"Japanese Associate Degree $25,000 to $29,999",0,1
Male,White,"$95,000 to $99,999",Masters&Doc,CT,51-60,0,"White Masters&Doc $95,000 to $99,999",0,1
Female,White,"$150,000 to $174,999",Masters&Doc,FL,31-40,0,"White Masters&Doc $150,000 to $174,999",1,1
Female,Black/African American,"$60,000 to $64,999",Associate Degree,NJ,61-70,0,"Black/African American Associate Degree $60,000 to $64,999",0,1
Female,White,"Less than $14,999",Highschool,TX,51-60,1,"White Highschool Less than $14,999",0,0
Male,White,"$80,000 to $84,999",Associate Degree,TX,71-80,1,"White Associate Degree $80,000 to $84,999",0,1
Male,White,"$100,000 to $124,999",Masters&Doc,MT,80up,1,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$15,000 to $19,999",Highschool,PA,61-70,0,"White Highschool $15,000 to $19,999",0,0
Male,Chinese,"$40,000 to $44,999",College Degree,CA,80up,1,"Chinese College Degree $40,000 to $44,999",0,1
Female,White,"$45,000 to $49,999",Highschool,TN,61-70,1,"White Highschool $45,000 to $49,999",0,0
Female,White,"$30,000 to $34,999",Highschool,NC,61-70,0,"White Highschool $30,000 to $34,999",0,0
Female,White,"$15,000 to $19,999",Highschool,PA,21-30,1,"White Highschool $15,000 to $19,999",0,0
Female,Other race,"$75,000 to $79,999",Associate Degree,CT,41-50,0,"Other race Associate Degree $75,000 to $79,999",0,1
Female,Black/African American,"$100,000 to $124,999",Masters&Doc,TN,31-40,1,"Black/African American Masters&Doc $100,000 to $124,999",0,1
Female,White,"$175,000 to $199,999",College Degree,TN,51-60,1,"White College Degree $175,000 to $199,999",1,1
Female,White,"$100,000 to $124,999",Highschool,IL,51-60,0,"White Highschool $100,000 to $124,999",0,0
Female,White,"Less than $14,999",Highschool,CT,31-40,0,"White Highschool Less than $14,999",0,0
Female,White,"$55,000 to $59,999",Highschool,WI,61-70,0,"White Highschool $55,000 to $59,999",0,0
Female,White,"$45,000 to $49,999",College Degree,FL,31-40,0,"White College Degree $45,000 to $49,999",0,1
Female,White,"$15,000 to $19,999",Highschool,VT,61-70,0,"White Highschool $15,000 to $19,999",0,0
Male,White,"$150,000 to $174,999",College Degree,NY,21-30,0,"White College Degree $150,000 to $174,999",1,1
Female,White,"$15,000 to $19,999",Highschool,KY,21-30,1,"White Highschool $15,000 to $19,999",0,0
Female,White,"$25,000 to $29,999",Highschool,MD,61-70,1,"White Highschool $25,000 to $29,999",0,0
Female,White,"$40,000 to $44,999",Masters&Doc,MO,61-70,0,"White Masters&Doc $40,000 to $44,999",0,1
Female,White,"$175,000 to $199,999",Masters&Doc,FL,51-60,1,"White Masters&Doc $175,000 to $199,999",1,1
Female,White,"$95,000 to $99,999",Highschool,MT,71-80,0,"White Highschool $95,000 to $99,999",0,0
Female,Black/African American,"$15,000 to $19,999",Masters&Doc,WI,31-40,0,"Black/African American Masters&Doc $15,000 to $19,999",0,1
